Journal of Statistical Software:  ['Software', 'Statistics and Probability', 'Statistics, Probability and Uncertainty']
Signal Processing:  ['Computer Vision and Pattern Recognition', 'Control and Systems Engineering', 'Electrical and Electronic Engineering', 'Signal Processing', 'Software']
Artificial Intelligence and Law:  ['Artificial Intelligence', 'Law']
Information Processing and Management:  ['Computer Science Applications', 'Information Systems', 'Library and Information Sciences', 'Media Technology', 'Management Science and Operations Research (Q2)']
Journal of Pragmatics:  ['Artificial Intelligence', 'Language and Linguistics', 'Linguistics and Language']
International Journal of Adaptive Control and Signal Processing:  ['Control and Systems Engineering', 'Electrical and Electronic Engineering', 'Signal Processing']
Semantic Web:  ['Computer Networks and Communications', 'Computer Science Applications', 'Information Systems']
Cognitive Computation:  ['Computer Science Applications', 'Computer Vision and Pattern Recognition', 'Cognitive Neuroscience (Q2)']
Quantum Information and Computation:  ['Computational Theory and Mathematics', 'Physics and Astronomy (miscellaneous)', 'Theoretical Computer Science', 'Mathematical Physics (Q2)', 'Nuclear and High Energy Physics (Q2)', 'Statistical and Nonlinear Physics (Q2)']
Industrial Management and Data Systems:  ['Computer Science Applications', 'Industrial and Manufacturing Engineering', 'Industrial Relations', 'Management Information Systems', 'Strategy and Management']
Evolutionary Bioinformatics:  ['Computer Science Applications', 'Ecology, Evolution, Behavior and Systematics (Q2)', 'Genetics (Q3)']
Journal of Mechanical Design - Transactions of the ASME:  ['Computer Graphics and Computer-Aided Design', 'Computer Science Applications', 'Mechanical Engineering', 'Mechanics of Materials']
Technology, Pedagogy and Information:  ['Communication', 'Computer Science Applications', 'Education', 'Information Systems']
Artificial Intelligence:  ['Artificial Intelligence', 'Language and Linguistics', 'Linguistics and Language']
Fuzzy Optimization and Decision Making:  ['Artificial Intelligence', 'Software', 'Logic (Q2)']
International Journal of Agile Systems and Management:  ['Computer Science (miscellaneous)', 'Engineering (miscellaneous)', 'Industrial and Manufacturing Engineering', 'Management Information Systems', 'Strategy and Management', 'Decision Sciences (miscellaneous) (Q2)']
SIAM Journal on Computing:  ['Computer Science (miscellaneous)', 'Mathematics (miscellaneous) (Q2)']
Engineering Applications of Artificial Intelligence:  ['Artificial Intelligence', 'Control and Systems Engineering', 'Electrical and Electronic Engineering']
ACM Transactions on Intelligent Systems and Technology:  ['Artificial Intelligence', 'Theoretical Computer Science']
IEEE Transactions on Services Computing:  ['Computer Networks and Communications', 'Computer Science Applications', 'Hardware and Architecture', 'Information Systems and Management']
IEEE Transactions on Visualization and Computer Graphics:  ['Computer Graphics and Computer-Aided Design', 'Computer Vision and Pattern Recognition', 'Signal Processing', 'Software']
Journal of Manufacturing Technology Management:  ['Computer Science Applications', 'Control and Systems Engineering', 'Industrial and Manufacturing Engineering', 'Software', 'Strategy and Management']
International Journal of Approximate Reasoning:  ['Artificial Intelligence', 'Software', 'Theoretical Computer Science', 'Applied Mathematics (Q2)']
IEEE Transactions on Network Science and Engineering:  ['Computer Networks and Communications', 'Computer Science Applications', 'Control and Systems Engineering']
Data Mining and Knowledge Discovery:  ['Computer Networks and Communications', 'Computer Science Applications', 'Information Systems']
Photogrammetric Record:  ['Computer Science Applications', 'Earth and Planetary Sciences (miscellaneous)', 'Engineering (miscellaneous)', 'Computers in Earth Sciences (Q2)']
Engineering Science and Technology, an International Journal:  ['Computer Networks and Communications', 'Electronic, Optical and Magnetic Materials', 'Fluid Flow and Transfer Processes', 'Hardware and Architecture', 'Mechanical Engineering', 'Metals and Alloys', 'Biomaterials (Q2)', 'Civil and Structural Engineering (Q2)']
Mathematics of Control, Signals, and Systems:  ['Control and Optimization', 'Control and Systems Engineering', 'Signal Processing', 'Applied Mathematics (Q2)']
Numerical Heat Transfer, Part B: Fundamentals:  ['Computer Science Applications', 'Condensed Matter Physics', 'Modeling and Simulation', 'Mechanics of Materials (Q2)', 'Numerical Analysis (Q2)']
International Journal of Mobile Learning and Organisation:  ['Computer Science Applications', 'Education', 'E-learning']
Future Generation Computer Systems:  ['Computer Networks and Communications', 'Hardware and Architecture', 'Software']
IEEE/ACM Transactions on Audio Speech and Language Processing:  ['Acoustics and Ultrasonics', 'Computer Science (miscellaneous)', 'Electrical and Electronic Engineering', 'Instrumentation', 'Media Technology', 'Signal Processing', 'Computational Mathematics (Q2)', 'Speech and Hearing (Q2)']
Combinatorics Probability and Computing:  ['Theoretical Computer Science', 'Applied Mathematics (Q2)', 'Computational Theory and Mathematics (Q2)', 'Statistics and Probability (Q2)']
Multisensory research:  ['Computer Vision and Pattern Recognition', 'Experimental and Cognitive Psychology (Q2)', 'Ophthalmology (Q2)', 'Cognitive Neuroscience (Q3)', 'Sensory Systems (Q3)']
Electronic Markets:  ['Business and International Management', 'Computer Science Applications', 'Economics and Econometrics (Q2)', 'Management of Technology and Innovation (Q2)', 'Marketing (Q2)']
Artificial Intelligence Review:  ['Artificial Intelligence', 'Language and Linguistics', 'Linguistics and Language']
Calphad: Computer Coupling of Phase Diagrams and Thermochemistry:  ['Chemical Engineering (miscellaneous)', 'Chemistry (miscellaneous)', 'Computer Science Applications']
Journal of Enterprise Information Management:  ['Information Systems', 'Library and Information Sciences', 'Decision Sciences (miscellaneous) (Q2)', 'Management of Technology and Innovation (Q2)']
Policy and Internet:  ['Computer Science Applications', 'Health Policy', 'Health (social science)', 'Public Administration']
4OR:  ['Management Information Systems', 'Theoretical Computer Science', 'Computational Theory and Mathematics (Q2)', 'Management Science and Operations Research (Q2)']
Optimal Control Applications and Methods:  ['Control and Optimization', 'Control and Systems Engineering', 'Software', 'Applied Mathematics (Q2)']
Annual Reviews in Control:  ['Control and Systems Engineering', 'Software']
Journal of Computational Biology:  ['Modeling and Simulation', 'Computational Mathematics (Q2)', 'Computational Theory and Mathematics (Q2)', 'Genetics (Q3)', 'Molecular Biology (Q3)']
Information Systems Frontiers:  ['Computer Networks and Communications', 'Information Systems', 'Software', 'Theoretical Computer Science']
Modelling and Simulation in Materials Science and Engineering:  ['Computer Science Applications', 'Condensed Matter Physics', 'Materials Science (miscellaneous)', 'Modeling and Simulation', 'Mechanics of Materials (Q2)']
IEEE Transactions on Mobile Computing:  ['Computer Networks and Communications', 'Electrical and Electronic Engineering', 'Software']
Electronic Commerce Research and Applications:  ['Computer Networks and Communications', 'Computer Science Applications', 'Management of Technology and Innovation (Q2)', 'Marketing (Q2)']
IEEE Intelligent Transportation Systems Magazine:  ['Automotive Engineering', 'Computer Science Applications', 'Mechanical Engineering']
Computers and Electronics in Agriculture:  ['Agronomy and Crop Science', 'Animal Science and Zoology', 'Computer Science Applications', 'Forestry', 'Horticulture']
IEEE/CAA Journal of Automatica Sinica:  ['Artificial Intelligence', 'Control and Systems Engineering', 'Information Systems']
Queueing Systems:  ['Computer Science Applications', 'Computational Theory and Mathematics (Q2)', 'Management Science and Operations Research (Q2)']
Information Systems:  ['Hardware and Architecture', 'Information Systems', 'Software']
Journal of Forecasting:  ['Computer Science Applications', 'Modeling and Simulation', 'Management Science and Operations Research (Q2)', 'Statistics, Probability and Uncertainty (Q2)', 'Strategy and Management (Q2)']
Differential Geometry and its Application:  ['Analysis (Q2)', 'Computational Theory and Mathematics (Q2)', 'Geometry and Topology (Q2)']
Mechatronics:  ['Computer Science Applications', 'Electrical and Electronic Engineering', 'Mechanical Engineering']
Web Semantics:  ['Computer Networks and Communications', 'Human-Computer Interaction', 'Software']
Telecommunications Policy:  ['Electrical and Electronic Engineering', 'Human Factors and Ergonomics', 'Information Systems']
Computer Methods and Programs in Biomedicine:  ['Health Informatics', 'Software', 'Computer Science Applications (Q2)']
Research in Learning Technology:  ['Education', 'Computer Science Applications (Q2)']
Source Code for Biology and Medicine:  ['Health Informatics', 'Information Systems', 'Information Systems and Management', 'Computer Science Applications (Q2)']
Journal of Network and Computer Applications:  ['Computer Networks and Communications', 'Hardware and Architecture', 'Computer Science Applications (Q2)']
IEEE Transactions on Learning Technologies:  ['Education', 'E-learning', 'Engineering (miscellaneous)', 'Computer Science Applications (Q2)']
Networks and Heterogeneous Media:  ['Engineering (miscellaneous)', 'Applied Mathematics (Q2)', 'Computer Science Applications (Q2)', 'Statistics and Probability (Q2)']
Ecological Informatics:  ['Modeling and Simulation', 'Applied Mathematics (Q2)', 'Computational Theory and Mathematics (Q2)', 'Computer Science Applications (Q2)', 'Ecological Modeling (Q2)', 'Ecology (Q2)', 'Ecology, Evolution, Behavior and Systematics (Q2)']
International Journal of Computer Integrated Manufacturing:  ['Aerospace Engineering', 'Electrical and Electronic Engineering', 'Mechanical Engineering', 'Computer Science Applications (Q2)']
International Journal of Logistics Research and Applications:  ['Control and Systems Engineering', 'Information Systems', 'Management Information Systems', 'Computer Science Applications (Q2)', 'Management Science and Operations Research (Q2)']
